data_completa,data,semana,qtd_marmitas,cardapio,qtd_frango,qtd_carne,qtd_calabresa,qtd_linguica,qtd_arroz,qtd_feijao,qtd_macarao,ano,mes
2021-09-04 10:24:39.708,2021-08-24,Terça,56,"arroz, feijao, maionese e linguiça.",,,,5.0,2.5,2.0,,2021,8
2021-09-04 10:25:09.184,2021-08-25,Quarta,57,macarrao com molho de cupim.,,5.0,,,,,5.0,2021,8
2021-09-04 10:25:49.688,2021-08-26,Quinta,64,"arroz, strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,8
2021-09-04 10:26:58.165,2021-08-27,Sexta,56,"arroz, feijao, carne moida com azeitonas e batata e salada de repolho com cenoura e tomate.",,5.0,,,2.5,2.0,,2021,8
2021-09-04 10:27:37.106,2021-08-28,Sábado,53,"arroz, feijao, salada de mandioca e carne louca de cupim.",,5.0,,,2.5,2.0,,2021,8
2021-09-04 10:28:43.562,2021-08-30,Segunda,64,"salada de macarrao( cenoura, azeitonas, palmito, ervilha, sardinha e batata).",,,5.0,,,,5.0,2021,8
2021-09-04 10:29:50.255,2021-08-31,Terça,55,"arroz, feijao branco, calabresa e salada de couve flor, brocolis, vagem e cenoura.",,,,,2.5,2.0,,2021,8
,2021-08-31,Terça,55,macarrao com molho de cupim e azeitonas,,,,,,,,2021,8
2021-09-30 23:46:52.882,2021-09-01,Quarta,53,"Arroz , feijão preto, salada de mandioca e linguiça.",,,,5.0,2.5,2.0,,2021,9
2021-09-30 23:47:52.024,2021-09-02,Quinta,60,"Arroz,feijão, picadinho de frango e mix de salada.",5.0,,,,2.5,2.0,,2021,9
2021-09-30 23:48:33.840,2021-09-03,Sexta,64,Macarrão com molho de almôndegas.,,5.0,,,,,5.0,2021,9
2021-09-30 23:49:43.418,2021-09-04,Sábado,54,"Arroz, vinagrete de feijão fradinho, salada de mandioca e almôndegas.",,5.0,,,2.5,2.0,,2021,9
2021-09-30 23:50:40.418,2021-09-06,Segunda,60,"Arroz, feijão, calabresa e salada de batata.",,,5.0,,2.5,2.0,,2021,9
2021-09-30 23:51:09.098,2021-09-07,Terça,113,Salada de macarrão.,,,,,,,10.0,2021,9
2021-09-30 23:51:47.202,2021-09-08,Quarta,100,"Arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,9
2021-09-30 23:52:23.244,2021-09-09,Quinta,132,"Arroz, feijão, maionese e linguiça.",,,,10.0,5.0,4.0,,2021,9
2021-09-30 23:53:08.546,2021-09-10,Sexta,60,"Arroz, feijão preto, vaca atolada e mix de legumes.",,10.0,,,5.0,4.0,,2021,9
2021-09-30 23:54:02.128,2021-09-11,Sábado,75,"Arroz, feijão preto, calabresa com mandioca e mix de legumes.",,,10.0,,5.0,4.0,,2021,9
2021-09-30 23:54:26.687,2021-09-13,Segunda,116,Salada de macarrão.,,,,,,,10.0,2021,9
2021-09-30 23:55:13.185,2021-09-14,Terça,107,"Arroz com calabresa e bacon, purê de batata.",,,10.0,,5.0,,,2021,9
2021-09-30 23:56:02.659,2021-09-15,Quarta,110,"Arroz feijão com calabresa, linguiça e maionese.",,,5.0,5.0,5.0,4.0,,2021,9
2021-09-30 23:56:41.983,2021-09-16,Quinta,89,Macarrão com molho de almôndegas.,,10.0,,,,,10.0,2021,9
2021-09-30 23:57:27.462,2021-09-17,Sexta,125,"Arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,9
2021-09-30 23:58:06.813,2021-09-18,Sábado,110,"Arroz, feijão, salada de repolho e lombo de porco.",,10.0,,,5.0,4.0,,2021,9
2021-09-30 23:58:48.661,2021-09-20,Segunda,116,"Arroz, feijão, linguiça e salada de repolho com cenoura.",,,,10.0,5.0,4.0,,2021,9
2021-09-30 23:59:29.715,2021-09-21,Terça,126,"Arroz, feijão e frango com legumes.",10.0,,,,5.0,4.0,,2021,9
2021-09-30 23:59:53.440,2021-09-22,Quarta,124,Salada de macarrão.,,,,,,,10.0,2021,9
2021-10-01 00:00:18.848,2021-09-23,Quinta,149,"Arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,9
2021-10-01 00:01:27.329,2021-09-24,Sexta,125,"Arroz, feijão preto, calabresa e salada de repolho com cenoura.",,,10.0,,5.0,4.0,,2021,9
2021-10-01 00:01:58.207,2021-09-25,Sábado,110,Macarrão com molho de linguiça.,,,,10.0,,,10.0,2021,9
2021-10-01 00:02:58.276,2021-09-27,Segunda,122,"Arroz, feijão preto, linguiça e purê de batata.",,,,10.0,5.0,4.0,,2021,9
2021-10-01 00:03:42.259,2021-09-28,Terça,115,Salada de macarrão.,,,,,,,10.0,2021,9
2021-10-01 00:04:42.133,2021-09-29,Quarta,105,"Arroz, feijão preto/carioca, e frango com legumes.",10.0,,,,5.0,4.0,,2021,9
2021-10-01 00:05:04.260,2021-09-30,Quinta,125,"Arroz, strogonoff de frango e batata palha.",10.0,,,,5.0,,,2021,9
2021-10-04 01:49:26.211,2021-10-01,Sexta,125,"Arroz, feijão, calabresa e salada de repolho.",,,10.0,,5.0,4.0,,2021,10
2021-10-04 01:49:52.881,2021-10-02,Sábado,86,Macarrão com molho de linguiça.,,,,10.0,,,10.0,2021,10
2021-11-14 14:24:23.548,2021-10-05,Terça,112,Salada de macarrao,,,,,,,10.0,2021,10
2021-11-14 14:25:22.148,2021-10-06,Quarta,114,"arroz, strogonoff de frango, batata palha",10.0,,,,5.0,,,2021,10
2021-11-14 14:26:12.332,2021-10-07,Quinta,115,"arroz, feijao, calabresa e pure de cenoura.",,,10.0,,5.0,4.0,,2021,10
2021-11-14 14:27:07.423,2021-10-08,Sexta,115,"arroz, feijao, linguiça e creme de milho",,,,10.0,5.0,4.0,,2021,10
2021-11-14 14:28:06.409,2021-11-09,Sábado,115,"arroz, feijao preto, picadinho frango e polenta.",10.0,,,,5.0,4.0,,2021,11
2021-11-14 14:29:06.777,2021-10-11,Segunda,84,macarrao com molho de linguiça e polenta.,,,,10.0,,,10.0,2021,10
2021-11-14 14:29:40.251,2021-10-12,Terça,97,salada de macarrao,,,,,,,10.0,2021,10
2021-11-14 14:30:49.701,2021-10-13,Quarta,111,"arroz, strogonoff de frango e batata palha",10.0,,,,5.0,,,2021,10
2021-11-14 14:31:46.452,2021-10-14,Quinta,133,arroz carreteiro e feijao tropeiro,,,,,5.0,4.0,,2021,10
2021-11-14 14:32:42.812,2021-10-15,Sexta,105,"arroz, feijao, frango e creme de milho",10.0,,,,5.0,4.0,,2021,10
2021-11-14 14:33:41.994,2021-10-16,Sábado,111,"arroz, feijao, linguiça e pure de beterraba",,,,10.0,5.0,4.0,,2021,10
2021-11-14 14:34:17.892,2021-10-18,Segunda,90,macarrao com molho de frango,10.0,,,,,,10.0,2021,10
2021-11-14 14:35:19.345,2021-10-19,Terça,111,"arroz, feijao, frango ensopado e creme de milho",10.0,,,,5.0,4.0,,2021,10
2021-11-14 14:35:51.426,2021-10-20,Quarta,118,salada de macarrao,,,,,,,10.0,2021,10
2021-11-14 14:38:37.920,2021-10-21,Quinta,108,"arroz, strogonoff de frango e batata palha",10.0,,,,5.0,,,2021,10
2021-11-14 14:39:08.315,2021-10-22,Sexta,108,macarrao com molho de linguiça,,,,10.0,,,10.0,2021,10
2021-11-14 14:39:43.021,2021-10-23,Sábado,112,"arroz, feijoada, farofa e couve",,,,,5.0,4.0,,2021,10
2021-11-14 14:40:52.073,2021-10-25,Segunda,80,"arroz, feijoada, farofa e couve",,,,,5.0,4.0,,2021,10
2021-11-14 14:41:39.349,2021-10-26,Terça,101,macarrao com molho de linguiça,,,,10.0,,,10.0,2021,10
2021-11-14 14:42:27.087,2021-10-27,Quarta,99,salada de macarrao,,,,,,,10.0,2021,10
2021-11-14 14:43:26.033,2021-10-28,Quinta,116,"arroz, strogonoff de frango e batata palha",10.0,,,,5.0,,,2021,10
2021-11-14 14:44:12.958,2021-10-29,Sexta,117,"arroz, feijao preto, calabresa e pure de batata",,,10.0,,5.0,4.0,,2021,10
2021-11-14 14:45:36.321,2021-10-30,Sábado,111,"arroz, feijao, calabresa e salada de inhame.",,,10.0,,5.0,4.0,,2021,10
2021-11-30 17:54:54.536,2021-11-01,Segunda,100,macarrao com molho de linguiça.,,,,10.0,,,10.0,2021,11
,2021-11-02,Terça,122,"Arroz, salada de feijão fradinho, carne de porco e escabeche de berinjela",,10.0,,,5.0,4.0,,2021,11
